ドイツ語,日本語,英語,フランス語,イタリア語,スペイン語,ギリシャ語,ロシア語,デンマーク後,簡体字
Zugrundelegung,根底にある,Underlying,Sous-jacent,Sottostante,Subyacente,Υποκείμενες,В основе,Underliggende,潜在的
Zuhilfenahme,援助,Aid,Aide,Aiuto,Ayuda,Βοήθεια,Помогать,Hjælpe,援助
zukommen,得る,get,obtenir,ottenere,obtener,παίρνω,получить,få,得到
zum,に,to the,au,al,hacia,στο,в,til,到
zunächst,最初,first,première,primo,primero,πρώτα,первый,først,第一的
Zuordnung,割り当て,Assignment,Mission,Incarico,Asignación,ΑΝΑΘΕΣΗ ΕΡΓΑΣΙΑΣ,Назначение,Opgave,任务
zur,に,to the,au,al,hacia,στο,в,til,到
zurück,戻る,return,revenir,Restituzione,devolver,ΕΠΙΣΤΡΟΦΗ,возвращаться,Vend tilbage,返回
zurückbleiben,後ろにとどまる,stay behind,rester en arrière,stai dietro,quedarse atrás,Μείνε πίσω,остаться позади,Bliv bag,站在后面
zurückführen,トレースバック,trace back,remonter,rintracciare,rastrear,ανατρέχω,проследить,spore tilbage,追溯
zurückkommen,戻ってくる,Come back,Revenir,Ritorno,Regresar,Ελα πισω,Вернись,Kom tilbage,回来
zusammen,一緒,together,ensemble,insieme,juntos,μαζί,вместе,sammen,一起
zusammenfallen,崩壊,collapse,effondrement,crollo,colapsar,κατάρρευση,крах,bryder sammen,坍塌
zusammensetzen,まとめる,put together,mettre ensemble,mettere insieme,juntar,βάζω μαζί,собрать вместе,lægge sammen,放在一起
Zusammensetzung,構成,composition,composition,composizione,composición,σύνθεση,сочинение,sammensætning,作品
Zustand,調子,Condition,Condition,Condizione,Condición,Κατάσταση,Условие,Tilstand,健康）状况
zufügen,追加,add,ajouter,Inserisci,agregar,Προσθήκη,добавлять,tilføje,添加
zwar,あれは,that is,C'est,questo è,eso es,αυτό είναι,то есть,det er,那是
Zweck,目的,purpose,objectif,scopo,objetivo,σκοπός,цель,formål,目的
zwei,2,two,deux,Due,dos,δύο,два,to,二
zweimalige,2つの時間,two -time,deux fois,Due volte,dos veces,δύο φορές,два -время,to gange,两个时间
zweiten,2番目,second,deuxième,secondo,segundo,δεύτερος,второй,sekund,第二
zwischen,その間に,in between,entre,nel mezzo,entre,ανάμεσα,между,ind i mellem,介于两者之间
